date,BTC_USDe,BTC_USDC,ETH_USDe,ETH_USDC
2025-09-17,-0.0004090282677608308,-0.0003467601540351807,-0.0003802771917487057,-0.0002988639278383028
2025-09-18,-0.00040949181248978715,-0.0003469126073622481,-0.0003784982074003792,-0.0002994370981887179
2025-09-19,-0.0003970500903587468,-0.0003447264534785513,-0.0003747349190555083,-0.0002981754625068337
2025-09-20,-0.0003971039557523299,-0.0002871966277490014,-0.00037988500858157615,-0.00027128312101144743
2025-09-21,-0.0004069467002340377,-0.0002851044282791453,-0.0003768914397882142,-0.0002688172635357339
2025-09-22,-0.00040183367693836754,-0.00028448334269361674,-0.0003831787949497021,-0.0002688764647413909
2025-09-23,-0.0004109322415492532,-0.0002859107519184142,-0.0003965967942261891,-0.0002712800432660398
2025-09-24,-0.0004168007173269081,-0.0003188405152330828,-0.0004700344414616186,-0.00028794967164932754
2025-09-25,-0.0004362284395999243,-0.0003223683881053109,-0.00048437011068631295,-0.00028817435303497927
2025-09-26,-0.0004872395205620277,-0.00032337349069103024,-0.0005328169302221943,-0.0002879523069155342
2025-09-27,-0.00042374263319757283,-0.00031232293834926203,-0.0005100822463771866,-0.000270721164295688
2025-09-28,-0.00041112985786547135,-0.0003160607061362245,-0.0005049939781353338,-0.000287678299537857
2025-09-29,-0.00042372341137412127,-0.0003138168684326629,-0.0005043527562419872,-0.00028791027519777
2025-09-30,-0.00042571364138299406,-0.00031649286618167226,-0.0005083159621681996,-0.00027148928704232207
2025-10-01,-0.0004254805264955892,-0.00031271026507579997,-0.0005089520749532887,-0.0002866431824956017
2025-10-02,-0.0004715513422496591,-0.0003146145569316633,-0.0005082300618649029,-0.00028833939817392475
2025-10-03,-0.00046637224289702064,-0.00031479000522745385,-0.0005080112052597131,-0.00028672346262997156
2025-10-04,-0.00048134707704858656,-0.0003152013134392158,-0.0005307572747785494,-0.0003127432683964484
2025-10-05,-0.0004816149349248321,-0.00031529957970593316,-0.0005315358203659653,-0.0003143277882544298
2025-10-06,-0.0004972229890939375,-0.0003171791876255276,-0.0005740971986702508,-0.0003149307935425612
2025-10-07,-0.0005146464102394228,-0.00031549466250813753,-0.0005743395420126217,-0.0003144886036240033
2025-10-08,-0.0005049454588641239,-0.00031323840202386507,-0.0005767009884964351,-0.0003127235525948394
2025-10-09,-0.0005110581323202158,-0.0003150668761047653,-0.0005937882642539758,-0.00031467217489694876
2025-10-10,-0.0005111124229745663,-0.00031576272173630405,-0.000593862010633735,-0.0003139374400722144
2025-10-11,-0.0005955742214411521,-0.00031971398743631355,-0.0006805340233227519,-0.00031302039785592606
2025-10-12,-0.0005992385505823193,-0.000328608568085897,-0.0006837645843022288,-0.00031302007315244673
2025-10-13,-0.0006091101699138762,-0.00032962549220568377,-0.0006944342529231109,-0.0003146316795968929
2025-10-14,-0.0006062032563256583,-0.00032963030448408,-0.0006910427990130042,-0.0003144495610104232
2025-10-15,-0.0005960751280054247,-0.0003242998937249446,-0.0006895018299411566,-0.0003142963213448609
2025-10-16,-0.0006107382134340934,-0.0003242867209777127,-0.0006928169639644247,-0.00031406033046672865
2025-10-17,-0.0005973678923391994,-0.00032815614641465397,-0.0006907894450393345,-0.0003147410399934054
2025-10-18,-0.0005982113210643255,-0.000323383931075659,-0.0006912950972927601,-0.0003139164423602147
2025-10-19,-0.0005961907886365653,-0.00032195578417769784,-0.0006798603199267151,-0.0003133132442791562
2025-10-20,-0.0005902836939224081,-0.0003243533274399731,-0.0006681165566574283,-0.00031485941846439087
2025-10-21,-0.0005893865492527096,-0.00032399455040942705,-0.0006731378498893955,-0.0003148539152814763
2025-10-22,-0.0005982833144053777,-0.0003183380168978414,-0.0006889264541368012,-0.0003140111325850116
2025-10-23,-0.0005929927239285934,-0.0002888228951451954,-0.0006892379215340555,-0.00028826088749759243
2025-10-24,-0.0005971224240286616,-0.00028718640193861313,-0.000689733695434435,-0.00027037750153119584
2025-10-25,-0.0005986437395581914,-0.00027876499602892034,-0.0006895076964025929,-0.00026982250184801244
2025-10-26,-0.0005915415283207525,-0.0002779543762518753,-0.0006883999403861071,-0.0002692343628943822
2025-10-27,-0.0005879483679993076,-0.00027885073544626956,-0.0006870190043289273,-0.000268288655366188
2025-10-28,-0.0005835429672781458,-0.00027892308177275435,-0.0006526001126017559,-0.00026833385427014816
2025-10-29,-0.000593245561111802,-0.0002789262598755163,-0.0006894651701997503,-0.00026837019582413635
2025-10-30,-0.000585568200784494,-0.000278444204187667,-0.0006890463055723383,-0.00026843106171745533
2025-10-31,-0.0005912822831141412,-0.00027843134666427036,-0.0006910259547181331,-0.000267814593233241
2025-11-01,-0.0005809564460633879,-0.0002871158065321145,-0.0006556524181969003,-0.00028472028420237753
2025-11-02,-0.0005796442288608019,-0.00028737806680532676,-0.0006599882955157159,-0.00028515736797156806
